app,priority,status,source_text,translated_text,refs
erpnext,P3,missing, Phantom Item,Objet fantôme,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:144 erpnext/public/js/bom_configurator/bom_configurator.bundle.js:185
erpnext,P3,missing,% Produced,% produit,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.json
erpnext,P3,missing,% Raw Material Received,% de matière première reçue,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.json
erpnext,P3,missing,% Raw Material Returned,% de matière première retournée,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.json
erpnext,P3,untranslated_copy,0-30,0-30,erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py:114
erpnext,P3,untranslated_copy,1-10,1-10,erpnext/crm/doctype/lead/lead.json erpnext/crm/doctype/opportunity/opportunity.json erpnext/crm/doctype/prospect/prospect.json
erpnext,P3,untranslated_copy,1000+,1000+,erpnext/crm/doctype/lead/lead.json erpnext/crm/doctype/opportunity/opportunity.json erpnext/crm/doctype/prospect/prospect.json
erpnext,P3,untranslated_copy,11-50,11-50,erpnext/crm/doctype/lead/lead.json erpnext/crm/doctype/opportunity/opportunity.json erpnext/crm/doctype/prospect/prospect.json
erpnext,P3,untranslated_copy,1{0},1{0},erpnext/regional/report/uae_vat_201/uae_vat_201.py:95 erpnext/regional/report/uae_vat_201/uae_vat_201.py:101
erpnext,P3,untranslated_copy,201-500,201-500,erpnext/crm/doctype/lead/lead.json erpnext/crm/doctype/opportunity/opportunity.json erpnext/crm/doctype/prospect/prospect.json
erpnext,P3,untranslated_copy,30-60,30-60,erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py:115
erpnext,P3,untranslated_copy,501-1000,501-1000,erpnext/crm/doctype/lead/lead.json erpnext/crm/doctype/opportunity/opportunity.json erpnext/crm/doctype/prospect/prospect.json
erpnext,P3,untranslated_copy,51-200,51-200,erpnext/crm/doctype/lead/lead.json erpnext/crm/doctype/opportunity/opportunity.json erpnext/crm/doctype/prospect/prospect.json
erpnext,P3,untranslated_copy,60-90,60-90,erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py:116
erpnext,P3,missing,"<b>Cannot create asset.</b><br><br>You're trying to create <b>{0} asset(s)</b> from {2} {3}.<br>However, only <b>{1} item(s)</b> were purchased and <b>{4} asset(s)</b> already exist against {5}.","<b>Impossible de créer un élément.</b><br><br>Vous essayez de créer <b>{0} élément(s)</b> à partir de {2} {3}.<br>Cependant, seuls <b>{1} article(s)</b> ont été achetés et <b>{4} élément(s)</b> existent déjà pour {5}.",erpnext/assets/doctype/asset/asset.py:533
erpnext,P3,missing,<b>Row #{0}:</b> Bundle {1} in warehouse {2} has insufficient packed items:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,<b>Rangée n°{0} :</b> Le lot {1} dans l'entrepôt {2} ne contient pas suffisamment d'articles emballés :<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,erpnext/accounts/doctype/pos_invoice/pos_invoice.py:432
erpnext,P3,untranslated_copy,"<div class=""text-muted text-center"">{0}</div>","<div class=""text-muted text-center"">{0}</div>",erpnext/public/js/bank_reconciliation_tool/dialog_manager.js:262
erpnext,P3,missing,"<h4>Contract Template Example</h4>

<pre>Contract for Customer {{ party_name }}

-Valid From : {{ start_date }} 
-Valid To : {{ end_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Exemple de modèle de contrat</h4>

<pre>Contrat pour le client {{ party_name }}

-Valable à partir de : {{ start_date }} 
-Valide jusqu'à : {{ end_date }}
</pre>

<h4>Comment obtenir les noms de champs</h4>

<p>Les noms de champs que vous pouvez utiliser dans votre modèle de contrat sont les champs du contrat pour lequel vous créez le modèle. Vous pouvez connaître les champs de n'importe quel document via Configuration &gt; Personnalisez l'affichage du formulaire et sélectionnez le type de document (par exemple, contrat) </p>

<h4>Modèles</h4>

Les modèles <p> sont compilés à l'aide du langage de modèles Jinja. Pour en savoir plus sur Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">lisez cette documentation.</a></p>",erpnext/crm/doctype/contract_template/contract_template.json
erpnext,P3,missing,"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Paramètres du numéro de compte</label>",erpnext/accounts/doctype/cheque_print_template/cheque_print_template.json
erpnext,P3,missing,"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Montant en lettres</label>",erpnext/accounts/doctype/cheque_print_template/cheque_print_template.json
erpnext,P3,missing,<li>Item {0} in row(s) {1} billed more than {2}</li>,<li>Article {0} dans la(les) ligne(s) {1} facturé plus de {2}</li>,erpnext/controllers/accounts_controller.py:2261
erpnext,P3,missing,"<li>Packed Item {0}: Required {1}, Available {2}</li>","<li>Article emballé {0} : requis {1}, disponible {2}</li>",erpnext/accounts/doctype/pos_invoice/pos_invoice.py:423
