app,priority,status,source_text,translated_text,refs
erpnext,P0,missing,"<span class=""h4""><b>Quick Access</b></span>","<span class=""h4""><b>Accès rapide</b></span>",erpnext/selling/workspace/selling/selling.json erpnext/stock/workspace/stock/stock.json
erpnext,P0,missing,Add Schedule,Ajouter un horaire,erpnext/selling/doctype/sales_order/sales_order.js:649 erpnext/selling/doctype/sales_order_item/sales_order_item.json
erpnext,P0,missing,Advance Paid,Avance payée,erpnext/buying/doctype/purchase_order/purchase_order.json erpnext/selling/doctype/sales_order/sales_order.json
erpnext,P0,missing,Aggregate a group of Items into another Item. This is useful if you are maintaining the stock of the packed items and not the bundled item,Regroupez un groupe d’éléments dans un autre élément. Ceci est utile si vous gérez le stock des articles emballés et non l'article groupé.,erpnext/selling/doctype/product_bundle/product_bundle.json
erpnext,P0,missing,All the items have been already returned.,Tous les articles ont déjà été retournés.,erpnext/selling/page/point_of_sale/pos_past_order_summary.js:200
erpnext,P0,missing,Allow Delivery of Overproduced Qty,Autoriser la livraison de la quantité surproduite,erpnext/selling/doctype/selling_settings/selling_settings.json
erpnext,P0,missing,Allow Item to be Added Multiple Times in a Transaction,Autoriser l'ajout d'un article plusieurs fois dans une transaction,erpnext/selling/doctype/selling_settings/selling_settings.json
erpnext,P0,missing,Allow Negative rates for Items,Autoriser les tarifs négatifs pour les articles,erpnext/selling/doctype/selling_settings/selling_settings.json
erpnext,P0,missing,Allows users to submit Quotations with zero quantity. Useful when rates are fixed but the quantities are not. Eg. Rate Contracts.,Permet aux utilisateurs de soumettre des devis avec une quantité nulle. Utile lorsque les tarifs sont fixes mais que les quantités ne le sont pas. Par exemple. Contrats tarifaires.,erpnext/selling/doctype/selling_settings/selling_settings.json
erpnext,P0,missing,Allows users to submit Sales Orders with zero quantity. Useful when rates are fixed but the quantities are not. Eg. Rate Contracts.,Permet aux utilisateurs de soumettre des commandes client avec une quantité nulle. Utile lorsque les tarifs sont fixes mais que les quantités ne le sont pas. Par exemple. Contrats tarifaires.,erpnext/selling/doctype/selling_settings/selling_settings.json
erpnext,P0,missing,Auto Fetch Serial Numbers,Récupération automatique des numéros de série,erpnext/selling/page/point_of_sale/pos_item_details.js:225
erpnext,P0,missing,Blanket Order Allowance (%),Allocation de commande globale (%),erpnext/buying/doctype/buying_settings/buying_settings.json erpnext/selling/doctype/selling_settings/selling_settings.json
erpnext,P0,missing,Bundle Items,Articles groupés,erpnext/selling/doctype/quotation/quotation.json
erpnext,P0,missing,Buyer of Goods and Services.,Acheteur de biens et services.,erpnext/selling/doctype/customer/customer.json
erpnext,P0,missing,Bypass credit check at Sales Order,Contourner la vérification de crédit lors de la commande client,erpnext/selling/report/customer_credit_balance/customer_credit_balance.py:68
erpnext,P0,missing,Changed customer name to '{}' as '{}' already exists.,"Nom du client modifié en « {} », car « {} » existe déjà.",erpnext/selling/doctype/customer/customer.py:127
erpnext,P0,missing,Checkout,Encaissement,erpnext/selling/page/point_of_sale/pos_item_cart.js:92 erpnext/selling/page/point_of_sale/pos_item_cart.js:148
erpnext,P0,missing,Click to add email / phone,Cliquez pour ajouter un e-mail / un téléphone,erpnext/selling/page/point_of_sale/pos_item_cart.js:485
erpnext,P0,untranslated_copy,Commission,Commission,erpnext/accounts/doctype/pos_invoice/pos_invoice.json erpnext/accounts/doctype/sales_invoice/sales_invoice.json erpnext/selling/doctype/sales_order/sales_order.json erpnext/selling/report/sales_partner_transaction_summary/sales_partner_transaction_summary.py:83 erpnext/stock/doctype/delivery_note/delivery_note.json
erpnext,P0,missing,Company Contact Person,Personne de contact de l’entreprise,erpnext/accounts/doctype/pos_invoice/pos_invoice.json erpnext/accounts/doctype/sales_invoice/sales_invoice.json erpnext/selling/doctype/quotation/quotation.json erpnext/selling/doctype/sales_order/sales_order.json erpnext/stock/doctype/delivery_note/delivery_note.json
erpnext,P0,missing,Complete Order,Finaliser la commande,erpnext/selling/page/point_of_sale/pos_payment.js:24
erpnext,P0,missing,Contribution (%),Contribution (%),erpnext/selling/doctype/sales_team/sales_team.json
